name 	date	sample	z_qso	lambda_min	lambda_max 	z_min 	z_max 	SNR	resolution	DLA	comment
J021741-370059      	 -.-.-     	 UVES      	   2.910	    4037	    4690	   2.321	   2.858	    15	 59800	     0	 -                                                                                                   
J021748+014449      	 -.-.-     	 UVES      	   1.715	    2803	    3257	   1.306	   1.679	     0	     0	     0	 -                                                                                                   
J021857+081727      	 -.-.-     	 UVES      	   2.991	    4121	    4787	   2.390	   2.938	    24	 49800	     0	 -                                                                                                   
J022541+113425      	 -.-.-     	 UVES      	   0.924	    1987	    2308	   0.634	   0.898	     1	 49800	     0	 -                                                                                                   
J022620-285750      	 -.-.-     	 UVES      	   2.171	    3274	    3803	   1.693	   2.129	    12	 59800	     0	 -                                                                                                   
J022928-364357      	 -.-.-     	 UVES      	   2.115	    3216	    3736	   1.646	   2.073	     4	 49800	     0	 -                                                                                                   
J023507-040205      	 -.-.-     	 UVES      	   1.442	    2522	    2929	   1.074	   1.409	     3	 49800	     0	 -                                                                                                   
J023838+163659      	 -.-.-     	 UVES      	   0.940	    2003	    2327	   0.648	   0.914	     6	 45700	     0	 -                                                                                                   
J024008-230915      	 -.-.-     	 UVES      	   2.223	    3328	    3866	   1.738	   2.180	    243	 49800	     1	 +                                                                                                   
J024221+004912      	 -.-.-     	 UVES      	   2.060	    3160	    3670	   1.599	   2.019	    11	 49800	     0	 -                                                                                                   
J024312-055055      	 -.-.-     	 UVES      	   1.805	    2896	    3364	   1.382	   1.768	     9	 49800	     0	 -                                                                                                   
J024401-013403      	 -.-.-     	 UVES      	   4.053	    5218	    6061	   3.292	   3.986	    24	 47800	     0	 -                                                                                                   
J024449-290449      	 -.-.-     	 UVES      	   3.230	    4368	    5074	   2.593	   3.174	    13	 49800	     0	 -                                                                                                   
J024658-123630      	 -.-.-     	 UVES      	   2.201	    3305	    3839	   1.719	   2.158	     9	 49800	     0	 -                                                                                                   
J024756-055559      	 -.-.-     	 UVES      	   4.238	    5409	    6283	   3.449	   4.168	     0	     0	     0	 -                                                                                                   
J025019+004650      	 -.-.-     	 UVES      	   4.770	    5958	    6921	   3.901	   4.693	    13	     0	     0	 -                                                                                                   
J025140-220026      	 -.-.-     	 UVES      	   3.197	    4334	    5034	   2.565	   3.141	    15	 49800	     0	 -                                                                                                   
J025240-553832      	 -.-.-     	 UVES      	   2.370	    3480	    4042	   1.862	   2.325	     0	     0	     0	 -                                                                                                   
J025607+011038      	 -.-.-     	 UVES      	   1.349	    2425	    2818	   0.995	   1.318	     9	 49800	     0	 -                                                                                                   
J025634-401300      	 -.-.-     	 UVES      	   2.290	    3397	    3946	   1.794	   2.246	    10	 59800	     0	 -                                                                                                   
J025927+074739      	 -.-.-     	 UVES      	   0.893	    1955	    2271	   0.608	   0.868	     1	 49800	     0	 -                                                                                                   
J030000+004828      	 -.-.-     	 UVES      	   0.900	    1962	    2279	   0.614	   0.875	     2	 49800	     0	 -                                                                                                   
J030049-072137      	 -.-.-     	 UVES      	   2.103	    3204	    3722	   1.636	   2.062	     5	 49800	     0	 -                                                                                                   
J030211-314030      	 -.-.-     	 UVES      	   2.370	    3480	    4042	   1.862	   2.325	     6	 49800	     0	 -                                                                                                   
J030249-321600      	 -.-.-     	 UVES      	   0.898	    1960	    2277	   0.612	   0.873	     7	 41500	     0	 -                                                                                                   
J030640-301031      	 -.-.-     	 UVES      	   2.096	    3197	    3714	   1.630	   2.055	     4	 45500	     0	 -                                                                                                   
J030643-301107      	 -.-.-     	 UVES      	   2.130	    3232	    3754	   1.659	   2.088	     4	 45500	     0	 -                                                                                                   
J030844-295702      	 -.-.-     	 UVES      	   0.952	    2016	    2341	   0.658	   0.926	     0	     0	     0	 -                                                                                                   
J031006-192124      	 -.-.-     	 UVES      	   2.144	    3246	    3771	   1.670	   2.102	    11	 41500	     0	 -                                                                                                   
J031009-192207      	 -.-.-     	 UVES      	   2.122	    3224	    3745	   1.652	   2.080	    14	 41500	     0	 -                                                                                                   
J031115-172247      	 -.-.-     	 UVES      	   4.039	    5203	    6044	   3.280	   3.972	    13	 47800	     0	 -                                                                                                   
J031257-563912      	 -.-.-     	 UVES      	   0.000	    1033	    1199	  -0.151	  -0.013	     2	 49800	     0	 -                                                                                                   
J031856-060037      	 -.-.-     	 UVES      	   1.927	    3022	    3511	   1.486	   1.888	    13	 49800	     0	 -                                                                                                   
J032412-320259      	 -.-.-     	 UVES      	   3.302	    4442	    5160	   2.654	   3.245	    12	 59800	     0	 -                                                                                                   
J033025-495403      	 -.-.-     	 UVES      	   2.230	    3335	    3874	   1.743	   2.187	     4	 59800	     0	 -                                                                                                   
J033106-382404      	 -.-.-     	 UVES      	   2.423	    3534	    4106	   1.907	   2.377	    34	 49800	     0	 -                                                                                                   
J033108-252443      	 -.-.-     	 UVES      	   2.685	    3805	    4420	   2.130	   2.636	    69	 49800	     0	 +                                                                                                   
J033244-445557      	 -.-.-     	 UVES      	   2.600	    3717	    4318	   2.058	   2.552	    34	 49800	     0	 -                                                                                                   
